u,v
29509,32484
10683,58458
39501,56426
3572,50830
21963,22247
486,10621
20715,53054
31076,42788
17141,34121
38074,48411
47230,63991
14865,35427
14426,24239
4158,60106
45319,64787
47877,61417
15792,16496
26440,41270
21209,57365
16730,47642
35639,66932
36033,65617
6948,48993
5063,30863
2702,41919
37932,54785
43136,49566
22285,64577
3342,6975
56426,63309
34669,68057
23066,27932
15912,52719
23072,65091
50300,67323
9746,41012
28651,36103
40439,50736
28704,42942
29715,50736
6455,32931
30200,63303
50616,53974
28879,29595
6517,16278
9323,33980
12193,34871
52690,56628
30997,60041
7396,50830
17876,32448
1559,59682
7974,32440
14865,63613
10756,65615
55079,63113
44647,63786
554,3737
5997,22838
3511,16982
39076,57145
57949,65422
33454,33715
39807,57262
14394,24697
47357,67453
1165,42789
2457,61999
16663,62597
2995,20449
45945,64225
10756,67493
64621,65239
12194,32722
39085,63786
60720,63380
46402,62370
39460,51030
33090,37268
12639,21286
4305,53387
10677,25065
4808,43811
54785,66135
21988,32056
16883,27046
5187,42207
4354,17370
30876,58257
7704,52762
54915,56227
18778,39069
59089,61005
14642,63355
23420,60569
924,17596
1511,60945
2729,8242
32992,36341
23942,50943
14546,49418
464,15774
11953,18533
14823,61742
7133,10550
23533,50989
61232,67757
14958,32749
20199,27910
1035,60935
4132,30022
32576,40280
15022,67569
15826,18279
28259,32109
31835,65707
21418,44803
3360,16908
54987,61879
54251,67014
61357,66017
924,15388
27319,43686
18258,29778
32017,50081
59870,62682
11180,17370
4394,58210
43090,59343
9281,33617
1171,45079
48570,63584
26757,56424
14476,18109
10307,49313
38465,57022
37967,40691
35644,50213
3904,5342
23584,58914
8307,23072
62047,66169
5567,31633
3359,67388
19660,61069
20623,48851
2168,45446
34787,43720
22275,66019
22838,59077
35606,49541
59316,60927
12310,31668
31376,47374
25750,30012
21489,30597
13705,35707
22165,53907
216,16415
45466,51388
26438,26440
32135,40010
18339,28579
22111,36115
1985,6494
6161,23544
794,3511
33273,45556
15993,34121
18956,45543
10486,41007
47886,67927
720,9884
36862,37666
23072,65168
515,51191
14355,20943
17575,20864
62493,65891
35211,65422
44883,47515
18634,35040
14245,26554
33545,34931
2009,47814
42815,54375
10669,24198
13745,59283
56559,66135
19782,41221
23018,32171
16933,53513
36767,54915
23106,23137
5379,33231
24885,68111
26176,39144
5477,12418
9605,9768
16684,34222
54915,61232
41010,66544
36998,50568
19123,45904
31993,68298
51374,62370
1724,5421
22716,51575
1099,15696
4436,14381
56685,58257
35697,45495
29715,67108
10437,10500
38823,68024
45008,54915
45556,60311
12167,61977
35703,41465
10634,52659
5660,15792
29769,50158
12168,51565
3682,32081
1141,6463
15135,28986
34071,64720
13388,20901
32481,55491
7237,24394
674,17921
14245,26913
35042,52702
23072,63707
16796,42029
40385,60863
61292,63707
5138,45079
16853,43864
5033,49658
11024,66959
140,6455
21477,44934
19734,49541
37359,38300
12841,38614
39807,51989
3191,47543
33755,67001
45339,57878
44262,47514
12411,35665
10815,19615
24059,42198
47518,60932
9675,34646
11557,12067
24418,59908
5399,25820
20810,61069
1563,29859
22270,60691
24697,33790
38107,48583
15604,42162
303,10375
10437,35042
7439,31452
10402,68501
57365,63697
22234,59130
18063,54536
896,38730
51028,65788
45863,45904
17596,54042
21171,66499
22747,49573
30772,33650
46634,54576
24872,42856
4014,34194
7127,63113
10425,21411
42187,47597
33847,49908
47390,66827
8794,12867
3511,33090
3000,32448
2690,26395
7295,31312
38361,63519
16278,32833
12117,16796
28001,36540
18665,21762
7048,21700
42001,67157
19268,20853
4707,67925
13937,48570
20894,45844
25949,43541
49509,67802
10170,27891
3737,35247
10198,56008
8188,59077
36383,60094
19045,30606
11403,12439
13278,32935
10553,31328
33384,48604
14988,27139
22623,38829
23536,60615
1937,9360
37152,51464
45323,51176
44977,58301
13794,17699
6773,65687
30162,31992
16775,36505
13577,37417
10598,38965
33317,37892
7172,19893
1,58592
16278,30744
11231,43566
15518,35910
5702,9207
48299,66447
5745,25502
17300,47543
5776,63721
20661,48666
6472,24558
11233,52055
16685,62494
52993,67569
30255,39040
12890,30876
57165,63889
7859,16455
8602,37663
27260,34173
4886,34266
16679,53736
38419,60010
215,23282
10737,21587
42388,47942
34151,66882
59651,67053
19893,55610
14546,53058
2555,40578
14906,33431
43095,49184
39253,67453
53238,66932
1195,51824
8484,12357
6562,64477
50056,65727
9884,41943
51090,61453
4450,10654
28697,30068
10988,15662
12985,21896
48125,58006
44370,46139
16610,55835
1025,30037
42632,56518
290,24894
32408,62227
58769,65086
1849,15018
31670,49304
22239,62767
15078,39925
16455,36783
55319,57820
9026,38851
6435,19720
38785,50966
13388,66135
33810,65818
23701,38892
273,29546
23659,43393
36235,45648
36522,52839
22996,25481
32544,35439
2658,21482
27742,36775
24165,56663
43016,45385
37286,47317
33715,61475
32833,40435
31944,48758
13648,35424
2108,29928
9902,46444
20599,52979
11121,34005
47647,64917
25200,26756
15729,45319
7256,49509
11557,23543
39381,42533
42819,48098
22865,43037
26596,28950
59361,63156
29595,45521
15845,54465
7871,13017
7871,39582
26122,32408
1724,39723
1737,12247
29509,46064
18191,53037
18844,47509
10431,16278
10247,53601
40698,61433
37303,39647
26467,37003
6580,40221
31023,44100
19660,47602
13939,56424
11078,39085
21520,64553
13717,26122
34364,60134
35280,66820
6254,25092
40750,45226
52344,60632
1931,33099
9613,33782
4436,36148
2022,43425
4704,18668
30881,37332
4070,66820
12462,13140
7073,23313
15617,23763
20394,65940
51962,55442
5263,23054
22386,57302
2872,56677
16349,23643
31807,57920
23345,54001
8698,62936
31836,33935
12258,14176
26328,47566
40719,57878
6975,55442
45169,63572
13558,39030
44610,64387
24295,67012
21293,40390
15460,35204
20924,60618
15253,61742
14832,63883
5,24706
2424,31944
5451,63009
9768,33722
15900,50691
10960,39144
8611,40989
4825,49332
47776,64163
14642,43686
23752,37876
11212,53601
58199,58212
55479,56083
6183,31315
49865,59682
6948,16467
10957,67453
31872,61147
6142,13750
15792,54845
41221,67887
9757,65284
41896,50149
36383,59861
12459,28651
43590,44547
12067,16164
10523,34546
37939,61777
43889,51191
41544,52913
68111,68385
22895,23778
45884,56687
19439,67605
33617,46064
31164,47934
42231,64225
29750,43541
19268,42725
8356,43242
17575,24231
1481,4867
16619,57794
2442,56801
10969,51466
2339,26805
17436,26767
20810,30881
53442,67851
27723,50989
17431,27260
16278,18433
60282,65834
26563,27499
13824,61323
6055,10431
18882,47409
7491,68162
15587,55570
57673,64971
4436,5461
4719,25820
10430,29859
5808,50658
25290,27246
9154,43345
21326,65627
764,21561
8660,17370
5303,40656
6055,49074
7136,52762
36223,43993
8109,44515
12718,28950
4241,49743
33072,49962
15312,16320
5277,59343
27849,44753
43700,49658
27260,62015
35336,49143
9656,38384
2317,13648
2254,31479
7136,8672
7924,60546
60333,60604
26756,56059
36112,48192
2658,33200
25702,64400
22916,41831
9939,19123
23324,62508
27910,39402
12334,49509
3306,66932
8143,27735
1441,6638
22895,35892
18433,51840
7859,12530
28473,29334
5965,37503
25481,34620
41248,60421
1021,25655
10108,26478
4014,10233
23788,27824
49177,65022
18168,38112
25948,52419
49681,53715
32928,38203
2394,30863
2194,15696
32856,53520
9010,35133
20394,51962
25590,45844
19615,52883
43867,62877
7439,30744
34131,44262
59553,61407
19720,50815
8411,67905
22157,23026
48604,64175
58902,64477
646,3193
17667,19660
17289,67453
9078,49151
16483,52676
955,31398
1035,36163
60134,64063
41109,63407
3249,6142
2701,37488
38315,62877
10425,63010
36767,67757
9303,26422
3224,61069
8509,12235
14017,22327
40625,43864
20877,42294
6090,23543
14232,47399
19091,33430
48192,66135
19045,25481
50487,60948
16497,59519
56388,62044
34191,60134
34803,49681
30493,67269
7901,14510
60403,61102
2662,34266
9300,22643
16164,28633
8558,30744
969,63504
7139,48804
14848,44534
28194,67933
5702,45766
9656,62676
22743,65586
45226,60929
7429,37152
46077,53540
8031,46343
2794,39460
1441,9638
4450,62046
40322,45419
8242,54786
12576,30017
6254,26398
6223,63462
33867,40528
49418,62227
5187,56184
27743,60025
23455,46272
24969,26306
35761,40625
5808,38832
3342,5649
24059,32081
28268,56759
22722,57542
8586,18259
29635,44394
32992,35109
31024,61416
50213,62604
60123,65880
7346,25035
4104,32205
16009,62871
20599,37716
924,30359
59097,68113
23870,27793
53086,64100
51761,55487
49466,55319
35894,54251
33543,65859
6089,50627
47458,49875
8661,52762
30451,63991
34787,62824
43562,60720
25789,41601
30193,60546
21858,48391
1025,48851
12641,65422
2995,40405
9462,47433
1026,34744
10431,24711
9470,37152
7859,36019
17370,39688
39616,55511
6142,40894
9746,51719
14642,16986
29437,29509
8495,68041
4104,22021
48829,51606
31145,49018
51771,64485
21688,27328
17162,20075
42584,54218
1488,45186
21190,22769
5510,47392
15910,54667
18339,18656
26705,67013
1026,32449
3916,39598
5187,27312
23420,54015
43776,57794
23420,49098
10790,24086
20064,61247
43864,44831
5138,14935
9390,56120
32838,47677
51576,61588
751,22769
3423,13314
22613,36342
29000,36767
29106,61475
28356,65168
27764,47116
52986,63805
9502,9523
38369,60246
2698,63113
754,58466
27484,45648
8502,37780
21532,34417
7136,56916
13794,66666
388,35204
32905,52677
15604,31202
175,55218
20409,65814
37482,53707
32178,61343
42819,51294
6142,55735
14979,54915
16321,60604
5339,46344
26784,66440
37616,41084
37716,45556
6302,56581
18191,36138
44646,59626
4284,11660
29061,46271
26576,56915
46920,51706
38891,54218
17470,21700
19615,45844
15168,24059
52913,52992
1035,35481
18634,46950
14231,68473
22643,50054
17554,67569
29715,36383
31613,54698
43156,43974
1174,10901
48570,49541
6975,26021
22568,67289
28594,47283
22002,68162
15503,35054
36383,66522
18844,66135
7755,39929
39723,61879
17431,59797
16476,27741
19470,24711
45466,51989
7566,18778
28712,50518
12590,17043
6047,13333
17405,65553
880,36860
35054,39190
29383,33512
13659,28240
12067,36500
24443,45632
5339,16278
10402,15295
39984,45562
52914,54098
19518,58633
26784,53137
42880,59946
30643,41338
4918,62466
23514,40423
19111,19237
25239,49727
22463,65260
25465,25789
5277,20845
44029,52419
4892,37393
10024,25569
273,18956
6251,49254
39548,55259
23455,50656
11403,35630
26861,56008
26913,29181
30254,62074
20692,49984
5554,66382
20877,36585
63171,67299
60775,62044
23901,66940
10815,58194
19835,47390
43226,46703
8866,40399
21952,47884
31296,63322
21248,21255
17307,65195
23977,54275
11059,19224
35606,48570
24702,34926
19091,33047
17488,26661
55682,64599
6489,35480
30908,48248
7172,24706
19470,23825
8970,46585
52477,68116
29595,33715
40419,51604
41943,48248
4436,63793
46338,67493
4521,45385
9186,61612
4143,61757
35300,46759
36925,68303
41317,50130
54218,57433
7136,32661
24259,66135
12591,20692
21165,35242
22014,54076
12530,49295
12799,18151
39173,42880
40012,46616
26437,54915
24774,34869
17431,41303
16570,64208
793,15843
3423,61830
45523,67824
21539,63504
22495,22735
34849,37268
14017,33715
14653,15391
23236,65394
46464,48125
4436,26304
4561,46660
22716,40434
21209,45034
34142,38892
21044,24856
12298,41032
8411,34101
38332,57084
10957,47357
175,49418
59789,67620
38122,53137
54321,61777
45319,50332
56872,65805
17796,40625
47542,51840
53736,60411
7741,51036
62889,64171
976,40625
59316,62824
3011,43136
18242,19893
44427,50736
16921,47491
41167,60546
32054,50130
11141,20409
34121,56623
1163,32756
6168,53439
41378,60102
63252,64244
29717,34677
16687,62494
34990,40634
62044,63303
5278,59805
47116,54424
6224,7701
56039,62313
30770,32461
28001,28881
50972,64787
63805,64168
43136,64226
32368,54785
13648,54519
12167,47057
27799,65516
52205,55679
37967,41588
28879,50659
33986,67887
4186,21286
42995,64813
40045,45200
4158,36180
17481,47646
6809,9184
6384,31944
9230,66300
26311,46665
44977,66165
24789,34830
52344,66843
19469,60324
16026,67653
39723,62245
48073,61811
32661,54845
9079,11764
13112,62836
10064,29509
5138,59343
43864,68737
21714,37538
3826,63572
20749,63272
14764,25675
8307,38965
15200,42951
32324,54714
15168,41043
22552,28083
30200,60775
26712,52025
12981,46139
15355,46764
25764,60145
10064,41458
13408,50878
36860,63113
27218,47293
7932,59130
18533,22552
43226,44262
19974,25569
53601,56482
25329,53733
16921,45632
15197,54818
7599,13388
9154,50159
14642,34131
12228,39606
10402,18339
35178,45025
9775,34871
2416,68111
20284,38038
4621,52116
41378,44515
65086,67464
3306,57392
34824,40391
36481,64208
56725,66144
16320,37647
2784,5665
3890,42804
383,56035
14083,52470
13558,63182
30465,42889
19159,22006
13367,61194
18910,26028
13794,68015
33957,57544
36209,46718
4070,60010
18269,36112
26704,27073
6809,40578
16053,26033
23571,65193
64971,67247
25290,34596
3051,38127
2101,66906
3423,52690
13426,24408
3266,45632
8869,17066
16415,52889
23307,49356
42770,53469
38327,40592
48212,57626
16035,32715
20427,53601
499,52919
49165,66382
5421,61879
22575,50627
17634,57038
58988,64452
30017,63425
30359,55277
25982,59990
42814,59682
9521,44555
4312,56485
14429,59925
36341,63854
3094,62871
34869,66288
20529,38052
10659,50073
20994,32368
39320,57369
26977,65848
20859,40625
31376,36010
2525,60751
20211,23982
22502,56583
13761,50814
7820,46402
40737,48666
8037,66207
10087,68179
17235,34513
10988,61635
37716,51761
15845,40719
16,65200
14083,39085
27967,56995
27093,29935
10185,46660
27122,61879
4700,63303
18433,40435
13198,31249
15678,28534
11008,58588
14514,56227
9082,16496
773,31145
6543,11078
34810,62255
8851,64208
3191,17300
26952,61511
12949,30881
6873,8012
43242,45699
2074,29334
30260,45775
23818,55924
22205,31583
12818,20394
1481,19324
23328,64173
16685,38965
51416,68161
16986,41804
19181,23544
37880,63883
8595,33265
44104,62922
36679,51115
60268,61826
38203,66476
11442,63113
2934,10136
14176,48405
24325,58507
10295,46788
1657,21792
40898,48634
45417,48773
52889,64035
23825,24711
6742,61324
47058,54574
16521,51612
10310,68470
24122,59651
37939,53196
363,4712
37616,61977
1441,49092
5187,32368
44438,57263
17543,30461
14726,49181
58689,65394
26997,55442
13024,31202
8484,22110
9207,48973
8727,10278
5858,52659
35941,63240
11088,15946
34298,64931
21747,30997
45648,66499
2784,60084
13239,16753
2416,4533
14975,45121
13388,64787
34926,48724
13659,24394
45885,47175
6142,22386
2432,14116
3753,49001
23113,25750
32461,63322
6266,46921
10136,68597
19893,56274
40112,59150
9691,15510
39534,49794
7914,46265
7974,20853
60094,61580
21380,59600
3479,17667
40077,44515
15662,49382
6717,13527
4632,11196
12590,45226
62682,66546
8510,34558
30420,41028
17576,40908
18675,28128
25276,27064
25569,40894
19299,37884
56522,58063
31907,43812
22726,63707
16933,51299
7272,64507
57262,64624
44515,59600
1174,18259
44934,63113
21978,45319
30846,50090
17911,31907
26220,45844
9082,40675
7108,45385
18665,48427
45736,59260
6769,6865
487,8851
61419,66544
28451,52458
51327,59146
27910,41007
56393,64383
38861,60312
495,65922
35481,59730
34546,36578
6890,13558
5201,56424
30504,37806
1539,22735
38341,54807
29635,33650
21895,49541
40915,48882
6435,47896
35301,58064
7417,59694
29874,53387
38253,49726
36322,58529
29778,35703
27602,31312
5138,26530
6366,36926
4389,53444
3892,59260
1783,55667
44,2270
20496,23743
46405,55180
32544,49764
38379,41839
51661,68457
32417,61212
36860,39402
33200,37932
35911,56775
34071,58769
20892,58851
63850,68204
5544,7493
19528,51876
24167,40041
46894,55387
15510,55867
19169,55735
2934,61742
21141,42486
7736,36209
31851,59316
13700,29928
15402,16350
20111,47490
6151,56644
30481,46850
12557,44755
10011,44427
3306,33715
21952,37538
5479,24748
17755,24894
27455,58427
38847,61659
37238,55229
34989,39460
45983,50644
24697,34787
13752,31988
52347,66603
14903,50616
8660,45107
27122,42995
41973,53102
7704,18168
21562,50192
49964,54576
1767,52622
38964,40592
37185,56970
10772,39807
4895,20773
36456,50643
26665,48729
5421,17235
38374,60216
5581,19491
23066,53642
8660,60516
51890,60403
46464,64447
59986,60024
10045,36637
2698,66135
25092,38500
22199,31669
17370,29181
56665,63429
9356,42341
16206,62873
5660,8979
300,63333
27774,61294
26311,33105
19105,25093
30744,48327
21669,24394
7859,32546
13260,62920
19054,62460
30162,45778
1306,47773
35892,38253
65615,66384
41188,56725
10079,41896
1765,16805
17141,38203
3046,16775
24886,38465
10375,32832
15016,38617
29928,63504
7429,67125
25239,68278
18036,58852
29725,59263
22589,64068
12310,50830
5583,15084
22895,26021
20,39586
29291,29595
19893,20411
49908,57499
5029,12580
22031,62824
16834,67605
54785,55259
14235,36103
26947,60150
58599,63430
25982,41948
11850,60453
3682,51548
23687,67872
23666,64658
20176,21834
23701,49304
10510,43095
6142,67012
16009,57673
20158,26922
20484,46077
12411,41687
44262,55951
44029,66513
29220,34021
33867,34623
27822,56677
41378,65013
37932,47566
17969,28194
34869,34931
13527,48076
14176,54699
12238,53797
4793,49225
5436,53627
1827,15005
31160,45632
25756,53238
1846,37418
38615,68179
38084,65651
50747,60268
46139,54424
27723,38145
5649,53320
46001,56663
17543,26929
37963,40435
3424,28753
31503,57830
1616,60445
3249,54178
5379,23054
18413,53874
16278,26969
10074,66183
11850,36578
21747,68400
36593,43579
48098,51294
7335,61659
25844,59870
48744,51204
13577,37932
36103,66171
4158,27343
12511,44868
2465,52544
22769,32570
27652,58395
10337,12561
25137,41458
32135,62076
38161,56677
7648,47458
12487,63883
27698,28850
9281,9983
28451,36383
40894,55259
61556,68111
19844,45920
19974,54556
1441,15089
16349,65359
66440,66739
22838,48192
38480,61659
7859,43700
18882,42281
5187,51679
43034,46497
43974,49143
30863,49600
19177,26734
9110,22747
6402,54164
54814,67080
29181,41687
13052,48405
65091,65168
14512,27499
33512,46186
17793,18348
28782,54675
43345,65505
65013,68111
5339,47542
34159,40908
15662,42528
56090,67821
37957,56089
18452,36902
12910,57207
29715,33755
8971,47231
32109,63504
23580,24544
42595,54785
31376,35067
23997,65707
16521,33135
8109,35630
9105,16819
3542,43034
20813,24231
33782,66761
3268,52477
3873,44782
18778,63786
61475,61742
23420,60368
32135,58858
34948,66440
25799,66585
7648,25465
3637,19420
5510,26943
26363,27793
18248,38092
45605,58811
56520,68367
19091,31810
33949,60999
50279,54465
2371,13052
40330,54310
22613,41977
16796,65045
52024,64553
3965,56948
48577,55570
32697,45844
12015,47623
15224,43393
9184,54086
53825,60797
7432,47359
166,38354
14958,60665
643,33454
8307,22726
41362,63279
39271,51844
16496,38112
6543,48098
36180,45849
14919,27337
28320,34869
8527,60720
23013,52364
2101,56504
28857,41458
25820,41238
46850,47074
40392,50893
37191,39582
25239,27100
34189,68477
54118,66820
2101,65727
40303,64298
10402,41094
52351,57343
54556,68367
27312,67012
13496,30461
21752,65692
62554,65842
4306,15355
25064,25428
39548,42581
2470,57738
44805,60445
11196,22275
53159,59205
6379,45692
58814,59703
32905,52013
59169,66603
38055,47542
46139,50568
36322,68498
33029,65786
5450,65553
41588,50842
5277,33036
13416,61856
6543,24711
60268,64100
46077,48570
47293,61147
25357,54589
1552,63134
12277,41201
7346,28128
59276,61433
18677,43993
8025,17289
2934,3624
32727,60404
8275,16320
26702,49794
2537,59216
40625,53601
57830,63707
39434,41534
10064,33650
54915,67757
25628,27154
10653,16266
34399,64988
5657,30565
8109,39984
13558,19488
29761,57738
35835,51791
7974,57506
23169,48891
7576,45697
26847,45749
37372,48727
19436,32609
30073,61069
29808,41967
23617,52681
25948,43393
11119,39582
34633,42385
14642,62649
14103,42365
39203,46487
12951,21141
38167,50155
38420,40105
35725,41588
25428,59205
15334,61985
22199,63700
15617,16869
1598,44721
2010,61918
47861,64813
23203,41196
18264,39835
38315,40536
773,53498
41074,68498
1590,68737
25056,50616
818,63142
9281,63385
643,31807
4336,55805
21518,54375
37647,47200
49681,57368
10486,28083
38865,55265
23297,29950
5187,55835
23208,64422
10402,15355
39777,41973
5063,15751
60775,66017
60184,66518
51397,54112
37963,47542
20883,22249
20655,62255
34926,49541
7240,10475
43259,47510
36481,61147
44805,66171
32235,65925
41792,53974
2689,46963
26503,47212
19906,36605
68111,68288
5497,36540
9530,21934
33431,60445
63171,64493
39183,45027
3188,61291
818,49382
14988,58086
175,3826
34958,54251
5964,18977
52058,61262
56444,59682
6156,55319
12334,19684
34931,60869
32109,61182
11742,29237
3984,63009
33048,33980
53676,63969
8307,32719
42995,52747
31760,44721
3504,9746
10943,11403
15224,40924
36180,50584
14642,51293
880,62871
28240,65847
17235,47200
12067,64169
7432,30462
50792,53676
6801,43156
6172,59815
15482,39498
48082,66211
16860,68204
30077,47509
32295,40698
12961,58301
57281,59148
28656,32205
17817,62378
51477,60839
18672,21978
14757,62778
888,6368
9220,29715
48895,49143
50915,64354
2254,64332
13937,34926
25590,47642
15993,52622
34222,65946
6584,39607
16733,45181
4394,10994
27822,66739
34665,50935
12378,17329
22571,38161
31670,54845
49948,67996
5914,61407
2790,30955
38142,48973
33847,53481
53925,61391
42632,52725
5999,11084
18191,60481
36322,52195
175,28857
233,4707
11957,20994
20075,42528
30744,49418
44515,52364
14726,35067
15334,68423
30787,38015
50794,54654
26632,39929
29715,33715
17512,61977
28356,59908
1539,28439
10108,16269
11403,52191
31416,61415
22838,64787
25325,29965
4903,7668
53528,58965
38500,51294
41812,52843
3088,44934
39659,46186
3437,8867
6055,48098
4158,62335
21326,40898
17667,32992
33293,35455
41101,45339
35103,50892
4344,58888
4255,28633
1616,28971
26178,60246
16320,49642
2317,54785
6251,15391
21669,55735
880,43864
49941,57758
26793,35910
23220,30559
42378,44577
26981,65099
31998,51204
443,67362
3373,26707
17141,18910
1974,23843
3925,34397
14017,50835
29380,32462
3012,21385
1539,67173
10772,51388
40625,51512
61580,62335
46064,67001
10067,27469
23618,25197
30766,35107
37268,49563
5156,61169
4223,47283
16584,50360
35835,40907
22356,24788
13648,24394
29214,48570
14888,65857
3922,4892
19983,65197
19028,61762
41270,66466
43345,62245
2125,21251
116,18130
7233,22783
12271,31416
9994,61796
16753,64183
13353,55655
16031,40438
33137,45385
1724,63516
56712,64081
48882,58223
53088,64100
8391,14017
23420,65183
2834,26913
32408,60926
13142,65922
6517,42819
28367,46325
5833,35107
34989,37025
45669,53420
11180,15005
66662,68041
63875,66168
16560,57496
11969,14653
61381,66200
4783,19839
27499,49090
55387,57433
14642,28451
2891,18656
3224,52116
13260,33232
8484,41588
34596,45107
8911,49340
6517,34519
3423,55555
14456,24295
40517,55835
29860,62541
43686,51989
1673,51851
3228,26509
6741,54717
2934,32017
68024,68303
